seed,step,action,feature,feature_count,equal_league_log_loss_delta,leagues_improved,worst_league_log_loss_delta,accepted
lineup_continuity,2,add,prior_team_matches,9,0.03616652568302381,1,0.10919749885057595,False
lineup_continuity,3,remove,new_starters,6,-0.005542187397232934,3,0.002134930275503155,True
lineup_continuity,3,remove,mean_pairwise_prior_starts,6,-0.0049984055920930135,3,0.003074238032584997,False
lineup_continuity,3,remove,replacement_quality,6,-0.004976248527300031,3,0.00220940259187119,False
lineup_continuity,3,add,mid_rating_mean_5,8,-0.004953215885092432,3,0.0015859203438914893,False
lineup_continuity,3,add,rating_lineup_mean_trend_1_5,8,-0.004876187807645494,3,0.0022384504811405748,False
lineup_continuity,3,remove,mean_pairwise_prior_minutes,6,-0.004864012239837701,3,0.003042686251501947,False
lineup_continuity,3,add,rating_lineup_min_5,8,-0.004810988306844943,3,0.004504400072648629,False
lineup_continuity,3,add,gk_saves_per90_5,8,-0.004802891099936724,3,0.002235739684674387,False
lineup_continuity,3,add,rating_lineup_std_across_starters_5,8,-0.004801722919956975,3,0.004510644078844939,False
lineup_continuity,3,add,adjusted_shots_lineup_std_across_starters_5,8,-0.004756124073742573,3,0.0015820966727873031,False
lineup_continuity,3,add,rating_lineup_mean_1,8,-0.00466782899517697,3,0.0027126962784206343,False
lineup_continuity,3,add,gk_count,8,-0.00460304961033986,3,0.0024914704718432823,False
lineup_continuity,3,remove,missing_regular_starters,6,-0.00459408784829507,3,0.0018319393200711964,False
lineup_continuity,3,add,adjusted_rating_lineup_mean_trend_1_5,8,-0.004523932755488391,3,0.0027262831417655953,False
lineup_continuity,3,add,shots_per90_lineup_mean_ewm,8,-0.004484004398288555,3,0.003487171384505161,False
lineup_continuity,3,remove,new_player_pairs,6,-0.004480164820955234,3,0.002895742578337357,False
lineup_continuity,3,add,rating_mean_5,8,-0.004389510193758972,3,0.002801802606736903,False
lineup_continuity,3,add,rating_lineup_mean_ewm,8,-0.0043704898379210546,3,0.002913801763653079,False
lineup_continuity,3,add,adjusted_rating_lineup_mean_1,8,-0.004313001719603094,3,0.0031888616934723224,False
lineup_continuity,3,add,shots_per90_sum_5,8,-0.004299454403743308,3,0.0029231622473243624,False
lineup_continuity,3,add,rating_lineup_max_5,8,-0.0042499681384124965,3,0.002780512750844455,False
lineup_continuity,3,add,adjusted_shots_lineup_mean_ewm,8,-0.004234751214422317,2,0.002718142908549104,False
lineup_continuity,3,add,adjusted_shots_lineup_mean_1,8,-0.004204851523851705,3,0.0033519608069321194,False
lineup_continuity,3,add,key_passes_per90_sum_5,8,-0.004175295268385226,3,0.0024627309304330325,False
lineup_continuity,3,add,fwd_adjusted_shots_5,8,-0.004149011825408988,3,0.0039332894442742905,False
lineup_continuity,3,add,def_adjusted_defensive_actions_5,8,-0.004142554200869753,3,0.004194131200146112,False
lineup_continuity,3,add,adjusted_shots_lineup_mean_trend_1_5,8,-0.004129166024564856,3,0.003958014569986457,False
lineup_continuity,3,add,rating_lineup_top3_mean_5,8,-0.004121879442961096,3,0.0032067198929233154,False
lineup_continuity,3,add,adjusted_key_passes_lineup_mean_std_5,8,-0.004100584179319267,3,0.0026979213858497886,False
lineup_continuity,3,add,defensive_actions_per90_lineup_mean_1,8,-0.004068804775747381,3,0.0027558827924395457,False
lineup_continuity,3,add,adjusted_defensive_actions_lineup_mean_1,8,-0.0040595713340843,3,0.0027638183562206375,False
lineup_continuity,3,add,adjusted_shots_lineup_mean_5,8,-0.004052007825307657,3,0.002735339131711756,False
lineup_continuity,3,add,rating_lineup_mean_3,8,-0.004050051147793288,3,0.0025408712967276426,False
lineup_continuity,3,add,adjusted_key_passes_lineup_mean_1,8,-0.004032795326146111,3,0.005527891450175293,False
lineup_continuity,3,add,fwd_rating_mean_5,8,-0.004026239245909391,3,0.0032111813068292916,False
lineup_continuity,3,add,starters_without_full_window,8,-0.003992616304191921,3,0.0037264303454055403,False
