model,model_label,feature_set,validation_season,train_matches,validation_matches,validation_leagues,base_feature_count,model_column_count,log_loss,brier_score,accuracy,selected_groups
player_form_logistic,Pooled player-form logistic,legacy_player_form + opponent_adjusted_form + lineup_continuity,2024-25,5311,1327,5,38,42,0.9842551782560787,0.5826038446870729,0.5338218676776627,legacy_player_form|opponent_adjusted_form|lineup_continuity
player_form_logistic,Pooled player-form logistic,legacy_player_form + opponent_adjusted_form + position_and_distribution,2022-23,2743,1335,5,51,55,0.9609865852795911,0.5673121528111557,0.5482760084080791,legacy_player_form|opponent_adjusted_form|position_and_distribution
player_form_logistic,Pooled player-form logistic,legacy_player_form + opponent_adjusted_form + position_and_distribution,2023-24,4078,1233,5,51,55,0.9625583122013497,0.5686670286597719,0.5364158317188015,legacy_player_form|opponent_adjusted_form|position_and_distribution
player_form_logistic,Pooled player-form logistic,legacy_player_form + opponent_adjusted_form + position_and_distribution,2024-25,5311,1327,5,51,55,0.9848391461001412,0.5833940155931396,0.5268239412409754,legacy_player_form|opponent_adjusted_form|position_and_distribution
player_form_logistic,Pooled player-form logistic,legacy_player_form + opponent_adjusted_form + recency,2022-23,2743,1335,5,48,52,0.9436402611120306,0.5570657614018395,0.5559611182386602,legacy_player_form|opponent_adjusted_form|recency
player_form_logistic,Pooled player-form logistic,legacy_player_form + opponent_adjusted_form + recency,2023-24,4078,1233,5,48,52,0.9515163651154637,0.5602492525241649,0.5474994965212325,legacy_player_form|opponent_adjusted_form|recency
player_form_logistic,Pooled player-form logistic,legacy_player_form + opponent_adjusted_form + recency,2024-25,5311,1327,5,48,52,0.9792484217562556,0.5797276748215789,0.527830053527343,legacy_player_form|opponent_adjusted_form|recency
player_form_logistic,Pooled player-form logistic,legacy_player_form + lineup_continuity + position_and_distribution,2022-23,2743,1335,5,34,38,0.9797976050796888,0.5771063381490561,0.5448388676463637,legacy_player_form|lineup_continuity|position_and_distribution
player_form_logistic,Pooled player-form logistic,legacy_player_form + lineup_continuity + position_and_distribution,2023-24,4078,1233,5,34,38,0.9664675565929561,0.5723542351358057,0.536632570513681,legacy_player_form|lineup_continuity|position_and_distribution
player_form_logistic,Pooled player-form logistic,legacy_player_form + lineup_continuity + position_and_distribution,2024-25,5311,1327,5,34,38,1.0008733732947366,0.5938396622482203,0.5187199327263988,legacy_player_form|lineup_continuity|position_and_distribution
player_form_logistic,Pooled player-form logistic,legacy_player_form + lineup_continuity + recency,2022-23,2743,1335,5,31,35,0.9775420448927454,0.5788651972033112,0.5409873369701582,legacy_player_form|lineup_continuity|recency
player_form_logistic,Pooled player-form logistic,legacy_player_form + lineup_continuity + recency,2023-24,4078,1233,5,31,35,0.9628215845011951,0.5690252877628514,0.5472220372740505,legacy_player_form|lineup_continuity|recency
player_form_logistic,Pooled player-form logistic,legacy_player_form + lineup_continuity + recency,2024-25,5311,1327,5,31,35,0.9983386753020218,0.5921944913820745,0.51957597434055,legacy_player_form|lineup_continuity|recency
player_form_logistic,Pooled player-form logistic,legacy_player_form + position_and_distribution + recency,2022-23,2743,1335,5,44,48,0.9798879278346311,0.578387586007671,0.527983824200075,legacy_player_form|position_and_distribution|recency
player_form_logistic,Pooled player-form logistic,legacy_player_form + position_and_distribution + recency,2023-24,4078,1233,5,44,48,0.9665379207487229,0.5725631827595391,0.5396357051464639,legacy_player_form|position_and_distribution|recency
player_form_logistic,Pooled player-form logistic,legacy_player_form + position_and_distribution + recency,2024-25,5311,1327,5,44,48,0.9927625994581077,0.5892889002671357,0.5301169440006632,legacy_player_form|position_and_distribution|recency
player_form_logistic,Pooled player-form logistic,team_strength + opponent_adjusted_form + lineup_continuity,2022-23,2743,1335,5,39,43,0.942350024109403,0.5530571144569236,0.5668313569564413,team_strength|opponent_adjusted_form|lineup_continuity
player_form_logistic,Pooled player-form logistic,team_strength + opponent_adjusted_form + lineup_continuity,2023-24,4078,1233,5,39,43,0.9400044530901356,0.5504314719279118,0.566835316838202,team_strength|opponent_adjusted_form|lineup_continuity
player_form_logistic,Pooled player-form logistic,team_strength + opponent_adjusted_form + lineup_continuity,2024-25,5311,1327,5,39,43,0.9895899346423376,0.5835653651806572,0.5365917172310034,team_strength|opponent_adjusted_form|lineup_continuity
player_form_logistic,Pooled player-form logistic,team_strength + opponent_adjusted_form + position_and_distribution,2022-23,2743,1335,5,52,56,0.9533851134138016,0.5586375377902061,0.5583815755377283,team_strength|opponent_adjusted_form|position_and_distribution
player_form_logistic,Pooled player-form logistic,team_strength + opponent_adjusted_form + position_and_distribution,2023-24,4078,1233,5,52,56,0.9474144704326701,0.5545280666566864,0.5587968716906083,team_strength|opponent_adjusted_form|position_and_distribution
player_form_logistic,Pooled player-form logistic,team_strength + opponent_adjusted_form + position_and_distribution,2024-25,5311,1327,5,52,56,0.9889002382996575,0.5831178318331527,0.5340824885263132,team_strength|opponent_adjusted_form|position_and_distribution
player_form_logistic,Pooled player-form logistic,team_strength + opponent_adjusted_form + recency,2022-23,2743,1335,5,49,53,0.9450499281839863,0.5548568487472461,0.5593066520117531,team_strength|opponent_adjusted_form|recency
player_form_logistic,Pooled player-form logistic,team_strength + opponent_adjusted_form + recency,2023-24,4078,1233,5,49,53,0.9406076449644113,0.5507321359868129,0.5659649323785411,team_strength|opponent_adjusted_form|recency
player_form_logistic,Pooled player-form logistic,team_strength + opponent_adjusted_form + recency,2024-25,5311,1327,5,49,53,0.9839257622721755,0.5813494119114155,0.5274524938561811,team_strength|opponent_adjusted_form|recency
player_form_logistic,Pooled player-form logistic,team_strength + lineup_continuity + position_and_distribution,2022-23,2743,1335,5,35,39,0.9569595884871533,0.5603165366209766,0.5543817180420033,team_strength|lineup_continuity|position_and_distribution
player_form_logistic,Pooled player-form logistic,team_strength + lineup_continuity + position_and_distribution,2023-24,4078,1233,5,35,39,0.9459526985522894,0.5531245991444214,0.563791867963732,team_strength|lineup_continuity|position_and_distribution
player_form_logistic,Pooled player-form logistic,team_strength + lineup_continuity + position_and_distribution,2024-25,5311,1327,5,35,39,0.9877338268567888,0.5836189632673069,0.5267709453381043,team_strength|lineup_continuity|position_and_distribution
player_form_logistic,Pooled player-form logistic,team_strength + lineup_continuity + recency,2022-23,2743,1335,5,32,36,0.9437377978502022,0.5533694612228803,0.5639066816055612,team_strength|lineup_continuity|recency
player_form_logistic,Pooled player-form logistic,team_strength + lineup_continuity + recency,2023-24,4078,1233,5,32,36,0.9375157146159807,0.5497609288566881,0.5736784435261362,team_strength|lineup_continuity|recency
player_form_logistic,Pooled player-form logistic,team_strength + lineup_continuity + recency,2024-25,5311,1327,5,32,36,0.9874907589876015,0.5830394016498326,0.5320732819195687,team_strength|lineup_continuity|recency
player_form_logistic,Pooled player-form logistic,team_strength + position_and_distribution + recency,2022-23,2743,1335,5,45,49,0.9514870856576619,0.5572155473460617,0.5607997495455838,team_strength|position_and_distribution|recency
player_form_logistic,Pooled player-form logistic,team_strength + position_and_distribution + recency,2023-24,4078,1233,5,45,49,0.9432591539318214,0.5531756196583621,0.5642679376745753,team_strength|position_and_distribution|recency
